id;ten_sach;gia_niem_yet;tacgia;gia_thue;ngan_xep;theloai
1;strategy;29857;Practical;56464;Interactions port;Frozen Kuwaiti
2;Tuna;68361;transform supply-chains green;44621;matrix full-range niches;Oregon
3;Oklahoma interfaces;47016;navigate;53563;Customizable bottom-line Configuration;transmitter alliance Small
4;Soap invoice;80199;Awesome Iowa;68411;Afghani Path;strategize
5;Organic input;15625;deposit;69589;Account Cambridgeshire;bleeding-edge hack CSS
6;Azerbaijan;68245;monetize;44317;knowledge Roads Chips;Steel
7;fuchsia salmon;85010;Configuration;19621;yellow;Response Account
8;concept;68871;cohesive panel transmit;51360;innovate;Producer e-commerce
9;Total feed Passage;77214;Cotton;19688;bus Officer;Armenian
10;payment Organic;54951;Auto vortals Malaysian;52849;Incredible Borders;transmit Kids Gorgeous
